Expert 1,Expert 2,Expert 3,Expert 4,color_cam_path,side_cam_path,Rfid,Pos
4,4,4,4,"A1/00387 Plant 0000 Plant 0000/18-02-2019 -- 12.31.11,054_Cam_06.png","A1/00387 Plant 0000 Plant 0000/18-02-2019 -- 12.31.11,054_Cam_03.png",A1,Plant 0000
1,1,1,1,"A1/00388 Plant 0001 Plant 0001/18-02-2019 -- 12.31.29,713_Cam_06.png","A1/00388 Plant 0001 Plant 0001/18-02-2019 -- 12.31.29,713_Cam_03.png",A1,Plant 0001
1,1,1,1,"A1/00389 Plant 0002 Plant 0002/18-02-2019 -- 12.31.37,732_Cam_06.png","A1/00389 Plant 0002 Plant 0002/18-02-2019 -- 12.31.37,732_Cam_03.png",A1,Plant 0002
4,4,3,3,"A1/00390 Plant 0003 Plant 0003/18-02-2019 -- 12.31.43,477_Cam_06.png","A1/00390 Plant 0003 Plant 0003/18-02-2019 -- 12.31.43,477_Cam_03.png",A1,Plant 0003
3,1,1,1,"A1/00391 Plant 0004 Plant 0004/18-02-2019 -- 12.31.49,750_Cam_06.png","A1/00391 Plant 0004 Plant 0004/18-02-2019 -- 12.31.49,750_Cam_03.png",A1,Plant 0004
3,3,3,3,"A1/00392 Plant 0005 Plant 0005/18-02-2019 -- 12.31.56,732_Cam_06.png","A1/00392 Plant 0005 Plant 0005/18-02-2019 -- 12.31.56,732_Cam_03.png",A1,Plant 0005
1,3,3,3,"A1/00393 Plant 0006 Plant 0006/18-02-2019 -- 12.32.26,187_Cam_06.png","A1/00393 Plant 0006 Plant 0006/18-02-2019 -- 12.32.26,187_Cam_03.png",A1,Plant 0006
1,1,1,1,"A1/00394 Plant 0007 Plant 0007/18-02-2019 -- 12.32.33,665_Cam_06.png","A1/00394 Plant 0007 Plant 0007/18-02-2019 -- 12.32.33,665_Cam_03.png",A1,Plant 0007
1,1,1,1,"A1/00395 Plant 0008 Plant 0008/18-02-2019 -- 12.32.41,048_Cam_06.png","A1/00395 Plant 0008 Plant 0008/18-02-2019 -- 12.32.41,048_Cam_03.png",A1,Plant 0008
1,1,1,1,"A1/00396 Plant 0009 Plant 0009/18-02-2019 -- 12.32.47,339_Cam_06.png","A1/00396 Plant 0009 Plant 0009/18-02-2019 -- 12.32.47,339_Cam_03.png",A1,Plant 0009
1,1,1,1,"A1/00397 Plant 0010 Plant 0010/18-02-2019 -- 12.33.27,668_Cam_06.png","A1/00397 Plant 0010 Plant 0010/18-02-2019 -- 12.33.27,668_Cam_03.png",A1,Plant 0010
1,1,1,1,"A1/00398 Plant 0011 Plant 0011/18-02-2019 -- 12.43.58,310_Cam_06.png","A1/00398 Plant 0011 Plant 0011/18-02-2019 -- 12.43.58,310_Cam_03.png",A1,Plant 0011
1,1,1,1,"A1/00399 Plant 0012 Plant 0012/18-02-2019 -- 12.44.05,890_Cam_06.png","A1/00399 Plant 0012 Plant 0012/18-02-2019 -- 12.44.05,890_Cam_03.png",A1,Plant 0012
3,1,1,1,"A1/00400 Plant 0013 Plant 0013/18-02-2019 -- 12.44.11,456_Cam_06.png","A1/00400 Plant 0013 Plant 0013/18-02-2019 -- 12.44.11,456_Cam_03.png",A1,Plant 0013
4,4,4,4,"A1/00401 Plant 0014 Plant 0014/18-02-2019 -- 12.44.17,140_Cam_06.png","A1/00401 Plant 0014 Plant 0014/18-02-2019 -- 12.44.17,140_Cam_03.png",A1,Plant 0014
1,1,1,1,"A1/00402 Plant 0015 Plant 0015/18-02-2019 -- 12.44.23,394_Cam_06.png","A1/00402 Plant 0015 Plant 0015/18-02-2019 -- 12.44.23,394_Cam_03.png",A1,Plant 0015
3,3,3,3,"A1/00403 Plant 0016 Plant 0016/18-02-2019 -- 12.44.29,434_Cam_06.png","A1/00403 Plant 0016 Plant 0016/18-02-2019 -- 12.44.29,434_Cam_03.png",A1,Plant 0016
1,1,1,1,"A1/00404 Plant 0017 Plant 0017/18-02-2019 -- 12.44.35,842_Cam_06.png","A1/00404 Plant 0017 Plant 0017/18-02-2019 -- 12.44.35,842_Cam_03.png",A1,Plant 0017
1,1,1,1,"A1/00405 Plant 0018 Plant 0018/18-02-2019 -- 12.44.42,270_Cam_06.png","A1/00405 Plant 0018 Plant 0018/18-02-2019 -- 12.44.42,270_Cam_03.png",A1,Plant 0018
1,1,1,1,"A1/00406 Plant 0019 Plant 0019/18-02-2019 -- 12.44.51,380_Cam_06.png","A1/00406 Plant 0019 Plant 0019/18-02-2019 -- 12.44.51,380_Cam_03.png",A1,Plant 0019
2,2,2,2,"A1/00407 Plant 0020 Plant 0020/18-02-2019 -- 12.44.57,094_Cam_06.png","A1/00407 Plant 0020 Plant 0020/18-02-2019 -- 12.44.57,094_Cam_03.png",A1,Plant 0020
2,1,1,1,"A1/00408 Plant 0021 Plant 0021/18-02-2019 -- 12.45.47,576_Cam_06.png","A1/00408 Plant 0021 Plant 0021/18-02-2019 -- 12.45.47,576_Cam_03.png",A1,Plant 0021
4,4,3,3,"A1/00409 Plant 0022 Plant 0022/18-02-2019 -- 12.45.53,469_Cam_06.png","A1/00409 Plant 0022 Plant 0022/18-02-2019 -- 12.45.53,469_Cam_03.png",A1,Plant 0022
1,1,1,1,"A1/00410 Plant 0023 Plant 0023/18-02-2019 -- 12.46.00,710_Cam_06.png","A1/00410 Plant 0023 Plant 0023/18-02-2019 -- 12.46.00,710_Cam_03.png",A1,Plant 0023
1,1,1,1,"A1/00411 Plant 0024 Plant 0024/18-02-2019 -- 12.46.06,707_Cam_06.png","A1/00411 Plant 0024 Plant 0024/18-02-2019 -- 12.46.06,707_Cam_03.png",A1,Plant 0024
2,1,1,1,"A1/00412 Plant 0025 Plant 0025/18-02-2019 -- 12.46.12,360_Cam_06.png","A1/00412 Plant 0025 Plant 0025/18-02-2019 -- 12.46.12,360_Cam_03.png",A1,Plant 0025
2,3,3,3,"A1/00413 Plant 0026 Plant 0026/18-02-2019 -- 12.46.17,319_Cam_06.png","A1/00413 Plant 0026 Plant 0026/18-02-2019 -- 12.46.17,319_Cam_03.png",A1,Plant 0026
1,1,1,1,"A1/00414 Plant 0027 Plant 0027/18-02-2019 -- 12.46.22,274_Cam_06.png","A1/00414 Plant 0027 Plant 0027/18-02-2019 -- 12.46.22,274_Cam_03.png",A1,Plant 0027
2,1,2,1,"A1/00415 Plant 0028 Plant 0028/18-02-2019 -- 12.46.27,463_Cam_06.png","A1/00415 Plant 0028 Plant 0028/18-02-2019 -- 12.46.27,463_Cam_03.png",A1,Plant 0028
1,2,2,2,"A1/00416 Plant 0029 Plant 0029/18-02-2019 -- 12.46.32,736_Cam_06.png","A1/00416 Plant 0029 Plant 0029/18-02-2019 -- 12.46.32,736_Cam_03.png",A1,Plant 0029
1,1,1,1,"A1/00417 Plant 0030 Plant 0030/18-02-2019 -- 12.46.38,328_Cam_06.png","A1/00417 Plant 0030 Plant 0030/18-02-2019 -- 12.46.38,328_Cam_03.png",A1,Plant 0030
4,4,4,4,"A1/00418 Plant 0031 Plant 0031/18-02-2019 -- 12.46.43,411_Cam_06.png","A1/00418 Plant 0031 Plant 0031/18-02-2019 -- 12.46.43,411_Cam_03.png",A1,Plant 0031
1,1,1,1,"A1/00419 Plant 0032 Plant 0032/18-02-2019 -- 12.47.01,059_Cam_06.png","A1/00419 Plant 0032 Plant 0032/18-02-2019 -- 12.47.01,059_Cam_03.png",A1,Plant 0032
2,2,2,2,"A1/00420 Plant 0033 Plant 0033/18-02-2019 -- 12.47.07,654_Cam_06.png","A1/00420 Plant 0033 Plant 0033/18-02-2019 -- 12.47.07,654_Cam_03.png",A1,Plant 0033
3,3,3,3,"A1/00421 Plant 0034 Plant 0034/18-02-2019 -- 12.47.13,161_Cam_06.png","A1/00421 Plant 0034 Plant 0034/18-02-2019 -- 12.47.13,161_Cam_03.png",A1,Plant 0034
1,1,1,1,"A1/00422 Plant 0035 Plant 0035/18-02-2019 -- 12.47.17,820_Cam_06.png","A1/00422 Plant 0035 Plant 0035/18-02-2019 -- 12.47.17,820_Cam_03.png",A1,Plant 0035
2,3,3,3,"A1/00423 Plant 0036 Plant 0036/18-02-2019 -- 12.47.22,714_Cam_06.png","A1/00423 Plant 0036 Plant 0036/18-02-2019 -- 12.47.22,714_Cam_03.png",A1,Plant 0036
1,1,2,1,"A1/00424 Plant 0037 Plant 0037/18-02-2019 -- 12.47.27,891_Cam_06.png","A1/00424 Plant 0037 Plant 0037/18-02-2019 -- 12.47.27,891_Cam_03.png",A1,Plant 0037
3,3,3,3,"A1/00425 Plant 0038 Plant 0038/18-02-2019 -- 12.47.33,126_Cam_06.png","A1/00425 Plant 0038 Plant 0038/18-02-2019 -- 12.47.33,126_Cam_03.png",A1,Plant 0038
1,1,1,1,"A1/00426 Plant 0039 Plant 0039/18-02-2019 -- 12.47.38,277_Cam_06.png","A1/00426 Plant 0039 Plant 0039/18-02-2019 -- 12.47.38,277_Cam_03.png",A1,Plant 0039
3,3,3,3,"A1/00427 Plant 0040 Plant 0040/18-02-2019 -- 12.47.42,889_Cam_06.png","A1/00427 Plant 0040 Plant 0040/18-02-2019 -- 12.47.42,889_Cam_03.png",A1,Plant 0040
4,4,4,4,"A1/00428 Plant 0041 Plant 0041/18-02-2019 -- 12.47.48,155_Cam_06.png","A1/00428 Plant 0041 Plant 0041/18-02-2019 -- 12.47.48,155_Cam_03.png",A1,Plant 0041
3,1,1,1,"A1/00429 Plant 0042 Plant 0042/18-02-2019 -- 12.48.04,256_Cam_06.png","A1/00429 Plant 0042 Plant 0042/18-02-2019 -- 12.48.04,256_Cam_03.png",A1,Plant 0042
1,1,1,1,"A1/00430 Plant 0043 Plant 0043/18-02-2019 -- 12.48.11,026_Cam_06.png","A1/00430 Plant 0043 Plant 0043/18-02-2019 -- 12.48.11,026_Cam_03.png",A1,Plant 0043
1,1,1,1,"A1/00431 Plant 0044 Plant 0044/18-02-2019 -- 12.48.17,296_Cam_06.png","A1/00431 Plant 0044 Plant 0044/18-02-2019 -- 12.48.17,296_Cam_03.png",A1,Plant 0044
3,1,1,3,"A1/00432 Plant 0045 Plant 0045/18-02-2019 -- 12.48.22,362_Cam_06.png","A1/00432 Plant 0045 Plant 0045/18-02-2019 -- 12.48.22,362_Cam_03.png",A1,Plant 0045
1,1,1,1,"A1/00433 Plant 0046 Plant 0046/18-02-2019 -- 12.48.28,510_Cam_06.png","A1/00433 Plant 0046 Plant 0046/18-02-2019 -- 12.48.28,510_Cam_03.png",A1,Plant 0046
1,1,1,1,"A1/00434 Plant 0047 Plant 0047/18-02-2019 -- 12.48.33,855_Cam_06.png","A1/00434 Plant 0047 Plant 0047/18-02-2019 -- 12.48.33,855_Cam_03.png",A1,Plant 0047
2,1,3,2,"A1/00435 Plant 0048 Plant 0048/18-02-2019 -- 12.48.39,735_Cam_06.png","A1/00435 Plant 0048 Plant 0048/18-02-2019 -- 12.48.39,735_Cam_03.png",A1,Plant 0048
1,1,1,1,"A1/00436 Plant 0049 Plant 0049/18-02-2019 -- 12.48.45,248_Cam_06.png","A1/00436 Plant 0049 Plant 0049/18-02-2019 -- 12.48.45,248_Cam_03.png",A1,Plant 0049
4,4,4,4,"A1/00437 Plant 0050 Plant 0050/18-02-2019 -- 12.48.50,312_Cam_06.png","A1/00437 Plant 0050 Plant 0050/18-02-2019 -- 12.48.50,312_Cam_03.png",A1,Plant 0050
4,4,4,4,"A1/00438 Plant 0051 Plant 0051/18-02-2019 -- 12.48.55,202_Cam_06.png","A1/00438 Plant 0051 Plant 0051/18-02-2019 -- 12.48.55,202_Cam_03.png",A1,Plant 0051
1,1,1,1,"A1/00439 Plant 0052 Plant 0052/18-02-2019 -- 12.48.59,924_Cam_06.png","A1/00439 Plant 0052 Plant 0052/18-02-2019 -- 12.48.59,924_Cam_03.png",A1,Plant 0052
