Expert 1,Expert 2,Expert 3,Expert 4,color_cam_path,side_cam_path,Rfid,Pos,average_expert,expert_binary,plant_width_side_view,plant_height_side_view,plant_area_side_view,plant_width_top_view,plant_height_top_view,plant_area_top_view
4,4,4,4,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00387 Plant 0000 Plant 0000/18-02-2019 -- 12.31.11,054_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00387 Plant 0000 Plant 0000/18-02-2019 -- 12.31.11,054_Cam_03.png",A1,Plant 0000,4.0,0,120,239,8577,263,277,18368
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00388 Plant 0001 Plant 0001/18-02-2019 -- 12.31.29,713_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00388 Plant 0001 Plant 0001/18-02-2019 -- 12.31.29,713_Cam_03.png",A1,Plant 0001,1.0,1,591,407,29037,585,548,85112
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00389 Plant 0002 Plant 0002/18-02-2019 -- 12.31.37,732_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00389 Plant 0002 Plant 0002/18-02-2019 -- 12.31.37,732_Cam_03.png",A1,Plant 0002,1.0,1,388,449,31946,450,692,86757
4,4,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00390 Plant 0003 Plant 0003/18-02-2019 -- 12.31.43,477_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00390 Plant 0003 Plant 0003/18-02-2019 -- 12.31.43,477_Cam_03.png",A1,Plant 0003,3.5,0,92,242,8694,281,276,23174
3,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00391 Plant 0004 Plant 0004/18-02-2019 -- 12.31.49,750_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00391 Plant 0004 Plant 0004/18-02-2019 -- 12.31.49,750_Cam_03.png",A1,Plant 0004,1.5,1,582,494,42052,670,534,102178
3,3,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00392 Plant 0005 Plant 0005/18-02-2019 -- 12.31.56,732_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00392 Plant 0005 Plant 0005/18-02-2019 -- 12.31.56,732_Cam_03.png",A1,Plant 0005,3.0,0,130,236,10394,268,292,21547
1,3,3,3,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00393 Plant 0006 Plant 0006/18-02-2019 -- 12.32.26,187_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00393 Plant 0006 Plant 0006/18-02-2019 -- 12.32.26,187_Cam_03.png",A1,Plant 0006,2.5,0,83,242,8762,369,283,24299
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00394 Plant 0007 Plant 0007/18-02-2019 -- 12.32.33,665_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00394 Plant 0007 Plant 0007/18-02-2019 -- 12.32.33,665_Cam_03.png",A1,Plant 0007,1.0,1,498,428,29793,356,742,94320
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00395 Plant 0008 Plant 0008/18-02-2019 -- 12.32.41,048_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00395 Plant 0008 Plant 0008/18-02-2019 -- 12.32.41,048_Cam_03.png",A1,Plant 0008,1.0,1,522,448,39771,546,671,104258
1,1,1,1,"C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00396 Plant 0009 Plant 0009/18-02-2019 -- 12.32.47,339_Cam_06.png","C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/C:\Users\Philip Salomons\OneDrive\Documentos\Master\Data Fusion\Data-Fusion-Group-Project\data/A1/00396 Plant 0009 Plant 0009/18-02-2019 -- 12.32.47,339_Cam_03.png",A1,Plant 0009,1.0,1,264,402,26230,594,538,92061
